target,tier,model,feature,mean,sd
THMFP,3,xgb,lag1_y,0.032085683821695694,0.013766135730537537
THMFP,3,xgb,month_sin,0.01670913512332753,0.007419079631553683
THMFP,3,xgb,month_cos,0.010698865681690116,0.004413662896711209
THMFP,3,xgb,Temp,0.009646074419807662,0.004343301789411826
THMFP,3,xgb,log_TOC,0.009039319623481866,0.005314847655314284
THMFP,3,xgb,log_HS,0.008460760185035656,0.006013097759572264
THMFP,3,xgb,up_y,0.00842121357155743,0.004144430581211144
THMFP,3,xgb,lag1_log_HS,0.007541293735451941,0.005690176530134379
THMFP,3,xgb,lag1_log_TOC,0.004855644517106473,0.005150611553533978
THMFP,3,xgb,log_Turbidity,0.004422377726203269,0.0023287382233702528
THMFP,3,xgb,pH,0.003190595055700231,0.0031560525818131687
THMFP,3,xgb,log_Biopolymer,0.0030627945333763966,0.0027878712203319536
THMFP,3,xgb,log_Br,0.0018162290637996183,0.002322876113717283
THMFP,3,xgb,hist_mean_y,0.0011860064506215124,0.0020490422959623567
THMFP,3,xgb,log_BB,0.0011815647007721675,0.002589544130273776
THMFP,3,xgb,up_log_TOC,0.0005520473225075951,0.0010802102538045352
THMFP,3,xgb,ms_position,0.0005298144997913759,0.0005766558372546754
THMFP,3,xgb,wtp_Goryeong,0.00026974438424496493,0.00043627743693444907
THMFP,3,xgb,wtp_Gumi,0.00017713332341056252,0.00047317449019002397
THMFP,3,xgb,stage_idx,0.00017200629044115967,0.00031583126666982585
THMFP,3,xgb,group_treatment,0.00010376310488442743,0.00016343589458226227
THMFP,3,xgb,group_main_stem,8.687834792038387e-05,0.00016544067783315312
THMFP,3,xgb,Site,0.0,0.0
THMFP,3,xgb,group_tributary,-1.5458953357882296e-05,5.579448885680736e-05
THMFP,3,xgb,wtp_Bansong,-4.378042403540081e-05,0.00014011911704852654
THMFP,3,xgb,group_reservoir,-7.708576388811852e-05,0.0001576896757562123
THMFP,3,xgb,log_EC,-0.00012436614071262883,0.0016300595852271386
THMFP,3,xgb,log_LMWN,-0.0005169794386784183,0.0017884614067283735
HAAFP,3,xgb,log_HS,0.046893750795228645,0.012843349369666373
HAAFP,3,xgb,hist_mean_y,0.01871423144017664,0.011109250140302972
HAAFP,3,xgb,up_y,0.016692251389576394,0.010197259133376043
HAAFP,3,xgb,log_TOC,0.011601126054612824,0.008738705725711985
HAAFP,3,xgb,log_Turbidity,0.011360513150052473,0.010041806423731748
HAAFP,3,xgb,log_BB,0.007155615507804697,0.0047746707191599
HAAFP,3,xgb,log_LMWN,0.0039429415819455145,0.0025165073571221494
HAAFP,3,xgb,up_log_TOC,0.0036518291269832244,0.0042737799258677316
HAAFP,3,xgb,log_Biopolymer,0.0036380195025895058,0.007126513273401829
HAAFP,3,xgb,lag1_y,0.0031299257517752575,0.005793622107003348
HAAFP,3,xgb,stage_idx,0.00278467476938241,0.004603113423031634
HAAFP,3,xgb,log_EC,0.0024423983012257,0.004164498747683709
HAAFP,3,xgb,month_sin,0.0024094321916146018,0.001732248865366584
HAAFP,3,xgb,Temp,0.0019290103158885802,0.002527726808739675
HAAFP,3,xgb,month_cos,0.0016221535045199188,0.001581398089455085
HAAFP,3,xgb,lag1_log_HS,0.0013766892388696157,0.0035892664405340275
HAAFP,3,xgb,pH,0.0012576029603757885,0.002351289080740298
HAAFP,3,xgb,ms_position,0.00032302785273062573,0.0030265347600370684
HAAFP,3,xgb,lag1_log_TOC,0.0002560267736694228,0.0018276842633410274
HAAFP,3,xgb,wtp_Bansong,6.268083140996265e-05,0.00011738457787002012
HAAFP,3,xgb,group_tributary,5.370077009858915e-05,0.00020734755198001801
HAAFP,3,xgb,group_treatment,2.1159025775719072e-05,0.00025851721941399586
HAAFP,3,xgb,Site,0.0,0.0
HAAFP,3,xgb,group_reservoir,-3.158269585267997e-05,0.00044883713137769816
HAAFP,3,xgb,wtp_Gumi,-3.966181795508995e-05,0.00016477048985084281
HAAFP,3,xgb,log_Br,-0.0001443707613646069,0.0022840214242031633
HAAFP,3,xgb,wtp_Goryeong,-0.0002209276168704515,0.0007188885986859088
HAAFP,3,xgb,group_main_stem,-0.000933131992543796,0.0033154516944924033
