target,feature,x,y_pred
THMFP,lag1_y,-1.4935136255242958,-1.1302469
THMFP,lag1_y,-1.4436974992327127,-1.1302469
THMFP,lag1_y,-1.408935392973501,-1.1262355
THMFP,lag1_y,-1.3665315444204136,-1.1234735
THMFP,lag1_y,-1.3565473235138126,-1.1234735
THMFP,lag1_y,-1.337242168318426,-1.1233671
THMFP,lag1_y,-1.3098039199714864,-1.1106358
THMFP,lag1_y,-1.275724130399211,-1.1104728
THMFP,lag1_y,-1.2480215712721456,-1.1037933
THMFP,lag1_y,-1.2218487496163564,-1.1035525
THMFP,lag1_y,-1.193820026016113,-1.0920699
THMFP,lag1_y,-1.1804560644581312,-1.0503908
THMFP,lag1_y,-1.1611509092627446,-1.0445092
THMFP,lag1_y,-1.1419858414937551,-1.0450392
THMFP,lag1_y,-1.1135092748275182,-1.0456111
THMFP,lag1_y,-1.0861861476162833,-1.0456111
THMFP,lag1_y,-1.0604807473813815,-1.04689
THMFP,lag1_y,-1.0362121726544447,-1.0459486
THMFP,lag1_y,-1.013228265733755,-1.0437475
THMFP,lag1_y,-0.9871627752948278,-1.0432476
THMFP,lag1_y,-0.9563169023479645,-1.0425681
THMFP,lag1_y,-0.9262602401052484,-1.0428869
THMFP,lag1_y,-0.8961962790440432,-1.0470747
THMFP,lag1_y,-0.8749929272675165,-1.0245501
THMFP,lag1_y,-0.8569851997459049,-0.9982055
THMFP,lag1_y,-0.8210230527068306,-0.9891241
THMFP,lag1_y,-0.7878123955960422,-0.99297243
THMFP,lag1_y,-0.7467736057267353,-0.9675918
THMFP,lag1_y,-0.6990225506628464,-0.9696257
THMFP,lag1_y,-0.6595558851598816,-0.96853644
THMFP,month_sin,-1.0,-1.0982879
THMFP,month_sin,-0.8660254037844386,-1.1103537
THMFP,month_sin,-0.8660254037844384,-1.1103537
THMFP,month_sin,-0.5000000000000004,-1.110975
THMFP,month_sin,-0.4999999999999997,-1.110975
THMFP,month_sin,-2.4492935982947064e-16,-1.0926607
THMFP,month_sin,1.2246467991473532e-16,-1.0571597
